('01001211', 'Paradigm in Agricultural Extension')
('01173443', 'Health Management')
('01173447', 'Health Care for Aging')
('01173462', 'Measurement & Evaluation in Health Educ.')
('01173463', 'Prin.& Meth.of Teaching Health Edu.in School')
('01173492', 'Classroom Research on Health Education')
('01173497', 'Seminar')
('01173498', 'Special Problems')
('01173544', 'Health Situation in Contempory Society')
('01173551', 'Epidemiology in Health Pro.& Health ED.')
('01173563', 'Develop.& Evalua. of Health Promotion Program')
('01173564', 'Health Promotion & Health Education')
('01173591', 'Res.Met.in Health Promotion & Health Educa.')
('01173597', 'Seminar')
('01173599', 'Thesis')
('01173645', 'Advan.Epidmio.in Health Promo.& Health Ed.')
('01173697', 'Seminar')
('01173699', 'Thesis')
('01174121', 'Camping & Outdoor Education')
('01174122', 'Recreation.Learn.through Backpack Traveling')
('01174231', 'Introduction to Recreation')
('01174521', 'Recreation Program Planning & Leadership')
('01174531', 'Therapeutic Recreation')
('01174542', 'Leisure & Tourism')
('01174551', 'Outdoor Recreation Programming')
('01174561', 'Leisure Edu. & Recreation Program Development')
('01174591', 'Research Methods in Recreation')
('01174592', 'Evaluation in Recreation')
('01174597', 'Seminar')
('01174599', 'Thesis')
('01175111', 'Track & Field for Health')
('01175112', 'Badminton for Health')
('01175113', 'Tennis for Health')
('01175114', 'Table Tennis for Health')
('01175115', 'Miditation with Shooting Activity')
('01175117', 'Meditation with Archery Activity')
('01175118', 'Chair Ball for Health')
('01175119', 'Petanque for Health')
('01175121', 'Basketball for Health')
('01175122', 'Soccer for Health')
('01175123', 'Volleyball for Health')
('01175124', 'Handball for Health')
('01175125', 'Softball for Health')
('01175126', 'Takraw for Health')
('01175127', 'Hockey for Health')
('01175128', 'Rugby Football for Health')
('01175129', 'Futsal for Health')
('01175131', 'Swimming for Health')
('01175132', 'Water Safety & Life Saving')
('01175141', 'Aerobic Dance for Health')
('01175142', 'Folk Dance by Local Culture for Health')
('01175143', 'Social Dance for Health')
('01175144', 'Thai Classical Dance for Health')
('01175151', 'Martial Art with Thai Sword')
('01175152', 'Martial Art with Fencing')
('01175153', 'Martial Art with Thai Boxing')
('01175154', 'Martial Art with Boxing')
('01175155', 'Martial Art with Judo')
('01175156', 'Martial Art with Aikido')
('01175159', 'Martial Art with Karate')
('01175161', 'Brain Training with Playing Bridge')
('01175162', 'Bowling for Health')
('01175163', 'Golf for Health')
('01175164', 'Cycling for Health')
('01175165', 'Weight Training for Health')
('01175166', 'Martial Art with Taekwondo')
('01175167', 'Yoga for Health')
('01175168', 'Jogging for Health')
('01175169', 'Exercise for Developing Holistic Health')
('01176141', 'Career Planning for the new Generation')
('01176242', 'Educational Quality Assurance for teachers')
('01176421', 'Learning Process in Career Education&Tec')
('01176535', 'Voc. Edu. Devel.in Commu.for Hum.Res. Devel.')
('01176581', 'Voc.Ed.Instruc.Strategies for Hum.Res.Devel.')
('01176585', 'Knowledge Manag.in Voc.Edu.for Hum.Res.Devel.')
('01176599', 'Thesis')
('01176611', 'Phil.& Inno. in Voca. Edu.for Hum.Res. Devel.')
('01176622', 'Teacher Ed.for Teaching Strategies in Voc.Ed.')
('01176624', 'Non-formal Voc. Ed.& Commu.Relations')
('01176645', 'Human Resource Development in Vocational ED.')
('01176646', 'Strategic Manag.& Leader. in Voc. Edu.')
('01176694', 'Research Planning & Design in Vocational ED.')
('01176697', 'Seminar')
('01176699', 'Thesis')
('01177141', 'Knowledge Acquisition')
('01177511', 'Phil. Found.of Non-formal  ED.for Social Dev.')
('01177522', 'Prin.of Adult Learn.in Non-formal ED.for SD.')
('01177523', 'Non-formal Ed. Acti.for Sustain.Commu.Devel.')
('01177542', 'Administration in Non-formal ED.for SD.')
('01177591', 'Research Methods in Non-formal ED.for SD.')
('01177597', 'Seminar')
('01177599', 'Thesis')
('01177621', 'Critical Analy.Non-formal Educa.Social Devel.')
('01177641', 'Design Program Devel.Non-formal.Edu.SD.')
('01177697', 'Seminar')
('01177699', 'Thesis')
('01179111', 'Principles of Business Education')
('01179231', 'Multimedia & Animation Design')
('01179232', 'Electronic Media Production for Education')
('01179234', 'Law & Ethics Inform.& Comm.Tech.Bus.& Compu.')
('01179235', 'Computer & Internet Technology for Teacher')
('01179323', 'Methods of Teaching Distributive Education')
('01179326', 'Micro-teaching in Business & Com.Educa.')
('01179333', 'E-Learning for Business & Computer Ed.Teacher')
('01179431', 'Com.Tech. Office Auto. Bus.Com.Edu.Teacher')
('01179432', 'Database Management in Education')
('01179445', 'Commu.Skills for Business & Com.Ed.Teacher')
('01179448', 'Knowledge Man.in Ed.for Bus.& Com.Ed.Teacher')
('01179497', 'Seminar')
('01179534', 'Online Education & Instruction.System Design')
('01179537', 'Mobile Learning')
('01179545', 'Organi.& Manag. in Educational Context')
('01179593', 'Stat.for Bus.& Computer Education Research')
('01179597', 'Seminar')
('01179599', 'Thesis')
('01180321', 'Methods of Teaching Home Economics')
('01180322', 'Critical Thinking Skills in Family Study')
('01180342', 'Homemaking Ed. for Adults & Comm. Services')
('01180371', 'Special Activities in Home Economics')
('01180491', 'Basic Research Methods in Home Economics Ed.')
('01180496', 'Selected Topics in Home Economics Education')
('01180498', 'Special Problems')
('01180521', 'Curriculum Development in Home Economics')
('01180522', 'Group Process & Interpersonal Relations')
('01180523', 'Learning Management in Home Economics')
('01180542', 'Home Economics Program Development')
('01180551', 'Evaluation in Home Economics')
('01180573', 'Consumer Behavior Analysis')
('01180597', 'Seminar')
('01180598', 'Special Problems')
('01180599', 'Thesis')
('01200101', 'Innovative Thinking')
('01200311', 'Communication Skills in Engineering I')
('01200431', 'Principles of Rail Engineering')
('01200432', 'Rolling Stock Technology')
('01200433', 'Signalling & Telecommunication Systems')
('01200490', 'Co-operative Education')
('01202211', 'Basic Principles & Calculations in Chem. Eng.')
('01202212', 'Unit Operations I')
('01202213', 'Numerical Methods for Chemical Engineers')
('01202215', 'Chemical Engineering Thermodynamics I')
('01202218', 'Momentum & Heat Transfer Operations')
('01202312', 'Unit Operation III')
('01202313', 'Chemical Engineering Laboratory I')
('01202314', 'Transport Phenomena')
('01202341', 'Chemical Reaction Engineering')
('01202361', 'Green Technology for Chemical Engineers')
('01202399', 'Internship')
('01202411', 'Chemical Engineering Laboratory II')
('01202414', 'Chemical Engineering Equipment Design')
('01202431', 'Chem. Eng. Econ. & Cost Estimation')
('01202471', 'Polymer Engineering')
('01202495', 'Chemical Engineering Project I')
('01202496', 'Selected Topics in Chemical Engineering')
('01202499', 'Chemical Engineering Project II')
('01202511', 'Advanced Transport Phenomena')
('01202512', 'Adv. Chem. Eng. Thermodynamics')
('01202524', 'Chemical Process Optimization')
('01202527', 'Chemical Engineering Conceptual Design')
('01202544', 'Rector Scale-up, Modeling & Optimization')
('01202563', 'Cleaner Technology & Eco-Design')
('01202564', 'Principles of Biofuel Engineering')
('01202574', 'Polymer Reaction Engineering')
('01202591', 'Research Methods in Chemical Engineering')
('01202597', 'Seminar')
('01202599', 'Thesis')
('01202691', 'Advanced Research Methods in  Chem. Eng.')
('01202696', 'Selected Topics in Chemical Engineering')
('01202697', 'Seminar')
('01202699', 'Thesis')
('01203211', 'Surveying')
('01203212', 'Survey Camp')
('01203221', 'Mechanics of Materials I')
('01203222', 'Structural Analysis I')
('01203223', 'Mechanics of Materials II')
('01203224', 'Applied Mathematics for Civil Engineering')
('01203231', 'Concrete & Engineering Materials')
('01203251', 'Engineering Geology')
('01203300', 'Reinforced Concrete Design')
('01203312', 'Photogrammetry')
('01203322', 'Civil Eng. Materials Testing Lab.')
('01203323', 'Structural Analysis II')
('01203331', 'Reinforced Concrete Design')
('01203333', 'Design of Timber & Steel Structures')
('01203352', 'Soil Mechanics')
('01203353', 'Soil Mechanics Laboratory')
('01203354', 'Foundation Design')
('01203361', 'Construction Engineering & Management')
('01203371', 'Transportation Engineering')
('01203415', 'Remote Sensing for Engineers')
('01203421', 'Computer Applications in Structural Eng.')
('01203422', 'Structural Damage & Rehabilitation')
('01203432', 'Bridge Structural Design')
('01203453', 'Principles of Geomechanics')
('01203454', 'Com. Applications in  Geotechnical Eng.')
('01203455', 'Principles of Rock Mechanics & Tunneling')
('01203456', 'Geo-environmental Engineering')
('01203462', 'Contract, Spec. & Const. Estimation')
('01203463', 'Sustainable Construction')
('01203465', 'Computer Applications in Construction')
('01203471', 'Highway Engineering')
('01203472', 'Highway Materials')
('01203473', 'Traffic Engineering')
('01203475', 'Urban Mass Transportation Planning')
('01203478', 'Traffic Design & Operations')
('01203479', 'Computer Applications in Transport Eng.')
('01203481', 'Sanitary Engineering and Water Supply')
('01203496', 'Selected Topics in Civil Engineering')
('01203497', 'Seminar')
('01203499', 'Civil Engineering Project')
('01203512', 'Advanced Project Planning & Controlling')
('01203513', 'Project Investment Analysis')
('01203521', 'Law & Administration of Construc.Contracts')
('01203523', 'Advanced Computer Applications in Construc.')
('01203524', 'Construction Methods & Equipment')
('01203528', 'Design of Earth & Rock-fill Dams')
('01203531', 'Soil Improvement in Engineering')
('01203532', 'Foundation on Soft Soil & Unstable Soil')
('01203533', 'Rock Mechanics')
('01203534', 'Geotechnical Engineering Projects')
('01203535', 'Risk Assessment of Geotech. Eng. Structures')
('01203536', 'Unsaturated Soil Behavior')
('01203544', 'Advanced Reinforced Concrete')
('01203546', 'Stability of Structures')
('01203552', 'Prestressed Concrete Structures')
('01203562', 'Advanced Digital Photogrammetry')
('01203564', 'Advanced Remote Sensing')
('01203566', 'Advanced Geodetic Surveying')
('01203572', 'Spatial Data Structure & Models')
('01203575', 'Feasibility Study for Transportation Projects')
('01203576', 'Transportation Planning')
('01203578', 'Pavement Design')
('01203583', 'Advanced Highway Material Laboratory')
('01203584', 'Logistics for Transportation Engineer')
('01203585', 'Intelligent Transportation Systems')
('01203586', 'Integrated Land Use & Transportation Modeling')
('01203587', 'Discrete Choice Analysis')
('01203588', 'Public Transit Planning & Operation')
('01203591', 'Research Methodology in Civil Engineering')
('01203596', 'Selected Topics in Civil Engineering')
('01203597', 'Seminar')
('01203599', 'Thesis')
('01203651', 'Earth Structures')
('01203691', 'Advanced Research Methodology in Civil Eng.')
('01203697', 'Seminar')
('01203699', 'Thesis')
('01204111', 'Computers & Programming')
('01204112', 'Information Technology for Engineers')
('01204211', 'Discrete Mathematics & Linear Algebra')
('01204214', 'Problem Solving Laboratory')
('01204223', 'Practicum in Computer Engineering')
('01204225', 'Computer Architecture & Organization')
('01204271', 'Introduction to Computer Engineering')
('01204313', 'Algorithm Design & Analysis')
('01204314', 'Stat.for Commputer Engineer. Applications')
('01204324', 'Computer System Laboratory')
('01204351', 'Database Systems')
('01204352', 'Laws & Ethics in Information Technology')
('01204371', 'Transform Techniques in Signal Processing')
('01204399', 'Internship')
('01204421', 'Computer Networks')
('01204422', 'Basic Networks & Network Configuration Lab.')
('01204438', 'Enterprise Application Architecture')
('01204456', 'Social Networks Data Mining')
('01204472', 'Numerical Computation')
('01204482', 'Computer-Human Interfaces')
('01204495', 'Computer Engineering Project Preparation')
('01204496', 'Selected Topics in Computer Engineering')
('01204498', 'Special Problems')
('01204499', 'Computer Engineering Project')
('01204521', 'Digital System Architecture')
('01204525', 'Archi. & App.for Wireless Sensor Network')
('01204526', 'Network Configurations & Maintenance')
('01204529', 'Wireless Local Area Networks')
('01204591', 'Research Methods in Computer Engineering')
('01204597', 'Seminar')
('01204598', 'Special Problems')
('01204599', 'Thesis')
('01204691', 'Adanced Research Methods in Computer Eng.')
('01204697', 'Seminar')
('01204699', 'Thesis')
('01205201', 'Introduction to Electrical Engineering')
('01205202', 'Electrical Engineering Laboratory I')
('01205203', 'Electric Machinery Fundamentals')
('01205205', 'General Electronics II')
('01205211', 'Electric Circuit Analysis I')
('01205212', 'Electric Circuit Analysis II')
('01205213', 'Electronics & Electrical Engineering Lab.')
('01205214', 'Electrical Machines Lab.& Electrical Practic.')
('01205215', 'Computer Programming for Electrical Engineers')
('01205216', 'Signals & Systems')
('01205217', 'Electromagnetic Fields & Waves')
('01205218', 'Electrical Measurements & Instruments')
('01205219', 'Applied Probability for Electrical Eng.')
('01205241', 'Digital Circuits & Logic Design')
('01205242', 'Electronic Circuits & Systems I')
('01205251', 'Electromechanical Energy Conversion I')
('01205252', 'Introduction to Electric Power Systems')
('01205306', 'Digital Circuits & Microcontrollers Lab.')
('01205311', 'Signals & Systems')
('01205312', 'Applied Probability for Electrical Engineers')
('01205313', 'Electrical Engineering Mathematics')
('01205315', 'Digital Signal Processing Laboratory')
('01205316', 'Digital Signal Processing Design & Implement.')
('01205321', 'Principles of Communications')
('01205328', 'Data Communications & Networks II')
('01205333', 'Advanced Electronics Laboratory')
('01205335', 'Microprocessor')
('01205336', 'Microprocessor Laboratory')
('01205341', 'Electromagnetic Fields & Waves I')
('01205344', 'Microwave Engineering')
('01205353', 'Electromechanical Energy Conversion Lab. II')
('01205354', 'Electrical System Design in Buildings')
('01205355', 'Electric Power System Analysis I')
('01205356', 'High-Voltage Engineering')
('01205361', 'Electrical Measurements & Instruments')
('01205362', 'Linear Control Systems')
('01205363', 'Control & Measurement Laboratory')
('01205381', 'Embedded System Design')
('01205399', 'Internship')
('01205412', 'Complex Analysis in Electrical Engineering')
('01205415', 'Digital Image Processing')
('01205422', 'Communication Network & Transmission Lines')
('01205423', 'Applied Coding')
('01205425', 'Visual Communications')
('01205428', 'Wireless Communications')
('01205429', 'Satellite Communications')
('01205435', 'Biomedical Electronics')
('01205438', 'Analog Integrated Circuit Application Designs')
('01205447', 'Optical Fiber Communications')
('01205452', 'Electric Drives')
('01205453', 'Electric Power Plants')
('01205455', 'Electric Power System Analysis Laboratory')
('01205467', 'Process Instrumentation')
('01205469', 'App. Artificial Neural Networks & Fuzzy Logic')
('01205473', 'Energy Conservation & Management')
('01205491', 'Electrical Engineering Project I')
('01205499', 'Electrical Engineering Project II')
('01205516', 'Computer & Robot Vision')
('01205519', 'Pattern Recognition')
('01205522', 'Signal Detection & Estimation')
('01205549', 'Power Electronics Design & Integration')
('01205552', 'Poewer System Stability')
('01205554', 'Power System Protection Engineering')
('01205562', 'Digital Control of Dynamic Systems')
('01205575', 'Unbalanced Fault Analysis')
('01205576', 'Advanced High Voltage Engineering')
('01205584', 'Data Mining for Electrical Engineering')
('01205585', 'Data Warehouse & Data Model.for Asset Manag.')
('01205587', 'Biomedical Instrumentation & Design')
('01205592', 'Research Methodology in Electrical Eng.II')
('01205593', 'Research Methodology in Electrical Eng.III')
('01205596', 'Selected Topics in Electrical Engineering')
('01205597', 'Seminar')
('01205599', 'Thesis')
('01205692', 'Research Methodology in Electrical Eng.II')
('01205697', 'Seminar')
('01205698', 'Special Problems')
('01205699', 'Thesis')
('01206221', 'Applied Probability & Statistics for Eng.')
('01206222', 'Applied Mathematics for Industrial Engineers')
('01206223', 'Introduction to Experimental Design for Eng.')
('01206251', 'Engineering Economy')
('01206272', 'Industrial Safety')
('01206311', 'Manufacturing Processes I')
('01206312', 'Industrial Study')
('01206322', 'Quality Control')
('01206342', 'Production Planning & Control')
('01206343', 'Industrial Plant Design')
('01206361', 'Computer Application for Ind. Eng.')
('01206362', 'Automatic Production System')
('01206425', 'Operations Research for Engineers II')
('01206431', 'Industrial Management')
('01206432', 'Management Information System for Engineers')
('01206443', 'Ergonomics')
('01206444', 'Industrial Forecasting')
('01206446', 'Value Engineering')
('01206452', 'Industrial Cost Analysis')
('01206461', 'System Engineering')
('01206462', 'Logistics System Design & Management')
('01206472', 'Industrial Safety')
('01206495', 'Industrial Engineering Project Preparation')
('01206496', 'Selected Topics in Industrial Engineering')
('01206497', 'Seminar')
('01206499', 'Industrial Engineering Project')
('01206512', 'Industrial Engineering II')
('01206524', 'Network Flows Optimization')
('01206534', 'Simulation Modeling & Analysis')
('01206536', 'Game & Decision Theory')
('01206541', 'Engineering Experimental Designs')
('01206552', 'Sequencing & Scheduling')
('01206553', 'Inventory Theory')
('01206555', 'Engineering Project Management')
('01206591', 'Research Methods in Industrial Engineering')
('01206595', 'Independent Study')
('01206596', 'Selected Topics in Industrial Eng.')
('01206597', 'Seminar')
('01206599', 'Thesis')
('01206641', 'Adv. Statistical Methods in Quality Eng.')
('01206661', 'Advan.Artificial Intelligence in Indus.Eng.')
('01206691', 'Adv. Research Methodology in Ind. Eng.')
('01206697', 'Seminar')
('01206699', 'Thesis')
('01208111', 'Engineering Drawing')
('01208201', 'Basic Principles of Engineering Mechanics')
('01208221', 'Engineering Mechanics I')
('01208222', 'Engineering Mechanics II')
('01208223', 'Mechanics of Materials')
('01208241', 'Thermodynamics I')
('01208242', 'Fluid Mechanics')
('01208271', 'Computer Methods for Mechanical Engineering')
('01208281', 'Workshop Practice')
('01208321', 'Mechanics of Machinery')
('01208331', 'Internal Combustion Engines')
('01208342', 'Power Plant Engineering')
('01208352', 'Refrigeration I')
('01208361', 'Machine Design I')
('01208371', 'Automatic Control')
('01208381', 'Mechanical Engineering Laboratory I')
('01208399', 'Internship')
('01208411', 'CAD/CAM for Mechanical Engineering I')
('01208418', 'Introduction to Finite Element Methods')
('01208423', 'Intro.to Engineering Composite Materials')
('01208432', 'Automotive Vehical Dynamics')
('01208433', 'Alternative Energy for Vehicles')
('01208434', 'Control of Air Pollution from Automobile')
('01208438', 'Equipment Management')
('01208441', 'Fluid Machinery')
('01208442', 'Energy Management & Economics')
('01208446', 'Thermal System Design')
('01208448', 'Introduction to Renewable Energy')
('01208449', 'Energy Audits')
('01208458', 'Clean Room')
('01208462', 'Principles of Fire Protection')
('01208464', 'Theory & Design of Auto. Fire Supp. Syst.')
('01208465', 'Fire Alarm & Smoke Control System')
('01208469', 'Enterpreneurship for Machanical Engineering')
('01208471', 'Design of Mechanical System Control')
('01208475', 'System Dynamics Simulation')
('01208477', 'Introduction to Industrial Robots')
('01208478', 'Vibration Monitoring & Analysis')
('01208490', 'Co-operative Education')
('01208495', 'Mechanical Engineering Project Preparation')
('01208496', 'Selected Topics in Mechanical Engineering')
('01208498', 'Special Problems')
('01208499', 'Mechanical Engineering Projects')
('01208511', 'Engineering Analysis for Mechanical Engineers')
('01208522', 'Theory of Elasticity')
('01208525', 'Fracture Mechanics')
('01208527', 'Finite Element Method in Stress Analysis')
('01208529', 'Advanced Machine Design')
('01208533', 'Rolling Stock Control System')
('01208535', 'Rail Operation & Maintenance Management')
('01208542', 'Advanced Fluid Mechanics')
('01208558', 'Adv.Solar Energy System Design & Assessment')
('01208581', 'Nonlinear Systems in Mechnical Engineering')
('01208583', 'Robotics')
('01208586', 'Automotive Control Systems')
('01208589', 'Advanced Machnical Vibration')
('01208591', 'Research Methods in Mechanical Engineering')
('01208597', 'Seminar')
('01208599', 'Thesis')
('01208696', 'Selected Topics in Mechanical Engineering')
('01208697', 'Seminar')
('01208699', 'Thesis')
('01209211', 'Fluid Mechanics')
('01209213', 'Different. Equations for Water Resources Eng.')
('01209242', 'Hydrology for Civil Engineering')
('01209312', 'Laboratory for Fluid Mechanics')
('01209322', 'River & Coastal Engineering')
('01209342', 'Applied Hydrology')
('01209343', 'Basic Water Resources Development')
('01209423', 'Hydraulic Engineering')
('01209424', 'Design of Hydraulic Structures')
('01209429', 'Water Resources Development for Water Supply')
('01209444', 'Water Resources Engineering Project Planning')
('01209446', 'Computer Appli.for Water Resource Engineer.')
('01209462', 'Water Resource Quality')
('01209463', 'Water Resources Management')
('01209467', 'Urb. Drain. & Waste. Coll. Syst. O&M')
('01209494', 'Water Resources Engineering Field Trip')
('01209497', 'Seminar')
('01209499', 'Water Resources Engineering Project')
('01209531', 'Coastal Engineering')
('01209536', 'Urban Stormwater System Design')
('01209572', 'Numerical Methods in WRE')
('01209578', 'Economics in Water Management')
('01209582', 'Feasibility Study for Water Resour.Projects')
('01209584', 'Flood Mangement')
('01209589', 'Cosatal Zone Mangement')
('01209595', 'Independent Study')
('01209597', 'Seminar')
('01209598', 'Special Problems')
('01209599', 'Thesis')
('01209662', 'Advanced Water Management')
('01209691', 'Advanced Research Methods in WRE')
('01209697', 'Seminar')
('01209698', 'Special Problems')
('01209699', 'Thesis')
('01210212', 'Microorganisms in Water & Wastewater')
('01210213', 'Unit Operations & Process for Environ. Eng. I')
('01210214', 'Applied Mathematics in Environmental Eng.')
('01210231', 'Surveying for Environmental Engineering Work')
('01210314', 'Environmental Engineering Laboratory')
('01210322', 'Solid Waste Engineering')
('01210331', 'Environmental System Management')
('01210333', 'Com.Application & Software in Environmen.Eng.')
('01210399', 'Internship')
('01210411', 'Water Supply Engineering Design')
('01210412', 'Wastewater Engineering Design')
('01210413', 'Design of Environmental Engineering System')
('01210421', 'Hazardous Waste Engineering')
('01210422', 'Industrial Pollution & Safety')
('01210431', 'Environmental Impact Assessment')
('01210432', 'Water Quality Management')
('01210434', 'Pollution Prevention')
('01210435', 'Soil & Groundwater Remediation')
('01210438', 'Recycling System Design')
('01210495', 'Environmental Engineering Project Preparation')
('01210497', 'Seminar')
('01210499', 'Environmental Engineering Project')
('01210511', 'Environmental Engineering Chemistry')
('01210512', 'Advanced Water Treatment Process Engineering')
('01210513', 'Wastewater Treatment Process Engineering')
('01210514', 'Biological Wastewater Treatment Modeling')
('01210515', 'Advanced Wastewater Treatment Processes')
('01210518', 'Advanced Water Quality Manangment')
('01210521', 'Air Pollution Control Engineering')
('01210523', 'Integrated Waste Manangement Engineering')
('01210525', 'Biochemical Engineer.& Environment.Biotech.')
('01210591', 'Research Methods in Environmental Engineering')
('01210595', 'Independent Study')
('01210597', 'Seminar')
('01210599', 'Thesis')
('01210691', 'Adv. Research Methodology in Env. Eng.')
('01210696', 'Selected Topics in Environmental Engineering')
('01210697', 'Seminar')
('01210698', 'Special Problems')
('01210699', 'Thesis')
('01211231', 'Conventional & Computer-Controlled Machines')
('01211323', 'Automation System & Components')
('01211331', 'CNC Machine Technology I')
('01211332', 'Production Machinery Components Design')
('01211361', 'Mold and Die')
('01211399', 'Internship')
('01211411', 'Computer-Aided Design Application')
('01211434', 'CNC Machine Retrofitting & Controller Design')
('01211490', 'Co-operative Education')
('01211495', 'Electrical-Mechani.Manu.Eng.Projects Prepara.')
('01211499', 'Electric.-Mechani. Manufacturing Eng. Project')
('01213211', 'Materials Science for Engineers')
('01213216', 'Mechanical Behavior of Materials')
('01213217', 'Thermodynamics of Materials')
('01213218', 'Principle of Characterization Techniques')
('01213219', 'Mater.Characterization & Proper. Analy.Lab.')
('01213221', 'Physical Metallurgy')
('01213222', 'Physical Metallurgy Laboratory')
('01213312', 'Materials Processing Laboratory')
('01213313', 'Mechanical Behavior of Materials')
('01213316', 'Kinetices in Materials Processing')
('01213361', 'Principle of Characterization Techniques')
('01213362', 'Mater.Characterization & Proper. Analy.Lab.')
('01213395', 'Materials Engineering Project Preparation')
('01213399', 'Internship')
('01213426', 'Alloys Engineering')
('01213427', 'Corrosion')
('01213434', 'Ceramic Catalyst')
('01213442', 'Rubber Technology')
('01213454', 'Prin.of Microelectro.& Microsys.Fabrications')
('01213461', 'Welding Metallurgy & Non-destructive Testing')
('01213462', 'Polymeric Materials Characterization')
('01213465', 'Failure Analysis & Prevention')
('01213471', 'Materials Selection & Engineering Design')
('01213472', 'Production Management for Materials Industry')
('01213474', 'Econ. & Cost Estimation for Materials Eng.')
('01213499', 'Materials Engineering Project')
('01213514', 'Materials Characterization in Research')
('01213524', 'Corrosion Failure Analysis & Prevention')
('01213533', 'Crystallography of Materials')
('01213548', 'Degradation of polymer')
('01213552', 'Nanoengineering')
('01213597', 'Seminar')
('01213599', 'Thesis')
('01213697', 'Seminar')
('01213699', 'Thesis')
('01214525', 'Computer System Administation')
('01214542', 'Information System Process Improvement')
('01214552', 'Data Science & Data Analytics')
('01214561', 'Enterprise Project Management')
('01214575', 'Data Visualization & Communication')
('01214591', 'Research Methodology in Information Tech.')
('01214595', 'Independent Study')
('01214599', 'Thesis')
('01215213', 'Computation.Methods & Stat.in Aerospace Eng.')
('01215221', 'Aircraft Structures I')
('01215232', 'Aerothermodynamics of Aircraft Engines')
('01215261', 'Aircraft Aerodynamics & Performance')
('01215311', 'Aerospace Engineering Laboratory I')
('01215331', 'Heat Transfer in Aerospace Engineering')
('01215341', 'Fundamental of Aerodynamics I')
('01215353', 'Manuf. Processes for Aircraft Materials')
('01215381', 'Space Flight')
('01215411', 'Intro. to Optimization in Aero. Engineering')
('01215441', 'Computational Fluid Dynamics')
('01215445', 'Introduction to Boundary Layer Aerodynamics')
('01215449', 'Experimental Aerodynamics')
('01215452', 'Aircraft Design II')
('01215461', 'Automatic Flight Control I')
('01215463', 'Aircraft Systems')
('01215464', 'Aircraft Air Cond. & Press. Syst.')
('01215472', 'Aerospace Organization Behavior')
('01215473', 'Aircraft Maintenance Management')
('01215490', 'Co-operative Education')
('01215495', 'Aerospace Engineering Project Preparation')
('01215496', 'Selected Topics in Aerospace Engineering')
('01215498', 'Special Problems')
('01215499', 'Aerospace Engineering Projects')
('01215512', 'Advan.Experiment.Methods Aerospace Engineer.')
('01215513', 'Optimization in Aeroapace Engineering')
('01215542', 'Aerodynamics of Viscous Flow')
('01215544', 'Computation.Fluid Dynamics in Aerospace Eng.')
('01215562', 'Optimal Control in Aerospace Engineering')
('01215597', 'Seminar')
('01215599', 'Thesis')
('01216512', 'Computational Methods in Safety Engineering')
('01216523', 'Electrical Safety')
('01216531', 'Eng. Analysis of Safety in Process Industry')
('01216534', 'Com.Applications for Safety of Process Eng.')
('01216551', 'App.of Thermo-Fluid Prin.in Safety Enginneer.')
('01216554', 'Fire Safety Designs')
('01216555', 'Engineering Design of Fire Suppression Sys.')
('01216562', 'Safety Management in Civil Engineering')
('01216595', 'Independent Study')
('01216597', 'Seminar')
('01216599', 'Thesis')
('01217511', 'Infrastructure Planning & Management')
('01217512', 'Project Planning, Management & Control')
('01217524', 'Analy.& Design in Civil Eng. for Infras.Works')
('01217533', 'Public Policy for Infrastructure Engineering')
('01217534', 'Infrastructure Maintenance')
('01217591', 'Res. Methods in Infrastructure Eng. & Mgt.')
('01217595', 'Independent Study')
('01217596', 'Selected Topics in Infrastructure Eng. & Mgt.')
('01217599', 'Thesis')
('01218212', 'Surveying Field Practice')
('01218213', 'Route Surveying')
('01218214', 'Engineering Surveying')
('01218215', 'Fundamental of Civil Engineering')
('01218322', 'Aerial Photo.Tnterpretation in Survey Eng.')
('01218331', 'Geodesy')
('01218332', 'Cartography & Map Projection')
('01218412', 'Satellite Surveying')
('01218413', 'Electronic Surveying')
('01218422', 'Remote Sensing')
('01218441', 'Surveying for Regional & Urban Planning')
('01218496', 'Selected Topics in Survey Eng. & Geo. Inform.')
('01218499', 'Survey Eng. & Geographic Information Project')
('01219116', 'Computer Programming II')
('01219117', 'Computer Programming Laboratory II')
('01219218', 'Data Structure & Algorithm II')
('01219222', 'Introduction to Computer Systems')
('01219223', 'Computer System Laboratory')
('01219231', 'Data.Systems for Software & Knowledge Eng.')
('01219243', 'Software Specification & Design')
('01219266', 'Knowledge Engineering & Knowledge Manag. I')
('01219321', 'Data Communication & Comput.Networks Program.')
('01219333', 'Introduction to Data Mining')
('01219344', 'Mobile Software Development')
('01219363', 'Knowledge Representation')
('01219411', 'Computer Systems Security')
('01219412', 'Technical Writing Software Knowledge Eng.')
('01219421', 'Cloud Computing Technology & Management')
('01219448', 'Software Patterns & Architecture Laboratory')
('01219449', 'Software Patterns & Architecture')
('01219452', 'Principle of Information security')
('01219492', 'Software Entrepreneurship')
('01219496', 'Selected Topics in Software & Knowledge Eng.')
('01219498', 'Special Problems')
('01219499', 'Innovative Software Group Project')
('01220511', 'Computer-Aided Design & Manufacturing')
('01220521', 'Product Manufact.Process&Adv.Materials Tech.')
('01220543', 'Data Science')
('01220591', 'Research Methods in Industrial Prod. Tech.')
('01220595', 'Independent Study')
('01220597', 'Seminar')
('01220599', 'Thesis')
